latitude,longitude,zip_code,total_volume,trees,aggrVolume
40.74726507,-73.96833344,10017,3,848,12
40.74260294,-73.97179375,10016,21,1872,107
40.74444904,-73.97095598,10016,0,1872,17
40.74495493,-73.970373,10016,0,1872,24
40.74548276,-73.96998499,10017,8,848,51
40.70607108,-73.9692392,11205,952,2640,2657
40.78203798,-73.94380509,10028,25,1806,125
40.77841495,-73.94280137,10028,1,1806,23
40.70006757,-73.99726412,11201,0,4514,5
40.69125933,-74.00095367,11231,47,3660,196
40.6755347,-73.99093684,11231,83,3660,298
40.74307249,-73.93928228,11101,134,3387,56
40.67609568,-73.99256932,11231,8,3660,234
40.66193203,-74.00633306,11231,0,3660,0
40.64691365,-74.07660779,10301,0,6034,3
40.81450368,-73.87075376,10473,418,4369,1613
40.81127295,-73.82626688,10465,70,5183,279
40.81564766,-73.79769507,10465,45,5183,189
40.87381318,-73.82360335,10475,22,1865,124
40.78374664,-73.8580997,11356,5,3099,36
40.78232695,-73.77086759,11359,0,0,0
40.74438335,-73.95894401,11109,1,92,24
40.64155922,-74.11847475,10310,0,3629,0
40.63070564,-74.07315502,10301,34,6034,176
40.62694702,-74.07282403,10305,179,6855,756
40.62457883,-74.07220391,10305,1,6855,24
40.62081723,-74.06915695,10305,4,6855,43
40.61797886,-74.06539832,10305,9,6855,55
40.61730159,-74.06480481,10305,28,6855,94
40.8325473,-73.95124318,10031,42,2587,93
40.77753796,-73.99094499,10069,13,119,44
40.7660249,-73.99796898,10019,39,1715,69
40.76506861,-73.99852354,10019,0,1715,8
40.73443823,-73.94669659,11222,0,3704,0
40.74651289,-73.95879205,11109,21,92,114
40.54928604,-74.11468742,10308,0,7116,0
40.75663062,-73.74461935,11362,0,4429,0
40.77587908,-73.93707537,11102,5,1742,49
40.64549055,-74.10207202,10301,0,6034,0
40.76745778,-73.75159389,11363,0,2851,0
40.78091389,-73.89188333,11370,0,3179,0
40.6119319,-74.0600184,10305,0,6855,160
40.64188419,-74.03717954,11220,0,4677,0
40.78652469,-73.92071245,11105,0,3925,0
40.76414677,-73.75282872,11362,208,4429,651
40.86684722,-73.80146389,10464,0,1062,0
40.76626707,-73.99745949,10019,0,1715,0
40.80228378,-73.88246816,10474,0,2644,0
40.70422222,-73.97727111,11205,0,2640,0
40.54750644,-74.11250222,10308,0,7116,0
40.6119319,-74.0600184,10305,0,6855,0
40.70334861,-73.97743694,11205,23,2640,113
40.7057879,-73.98113626,11201,1,4514,7
40.79750612,-73.88621161,10474,0,2644,0
40.77200233,-73.8497369,11356,0,3099,0
40.76301634,-73.75182165,11362,0,4429,97
40.78616166,-73.91543361,11105,0,3925,0
40.73175848,-73.96550066,10016,0,1872,0
40.64927096,-73.89044725,11236,348,6859,971
40.65777828,-73.86232631,11414,217,4650,776
40.79639928,-73.806393,11357,0,9449,0
40.66211081,-73.8185471,11430,194,37,695
40.66048501,-73.81124117,11430,3,37,24
40.61037047,-73.75578641,11096,0,9,0
